iter	Passed	Remaining
0	1	123
1	2	108
2	3	104
3	4	98
4	5	96
5	6	94
6	6	92
7	7	90
8	8	90
9	10	92
10	11	92
11	12	91
12	13	88
13	14	86
14	14	84
15	15	83
16	16	81
17	17	80
18	18	79
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	25	70
27	26	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	45	45
50	46	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	26
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
